hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	3.0720243108513823	7.769587718823568e-5	0.003884793859411784	TRUE
HALLMARK_ALLOGRAFT_REJECTION	7.25216224890199	1.0990565458545258e-12	5.495282729272629e-11	TRUE
HALLMARK_ANDROGEN_RESPONSE	2.7265042557395733	3.990140657307074e-4	0.01995070328653537	FALSE
HALLMARK_ANGIOGENESIS	6.277793116122811	5.057487418778916e-11	2.5287437093894583e-9	TRUE
HALLMARK_APICAL_JUNCTION	5.938398094178417	2.029925024181225e-10	1.0149625120906126e-8	TRUE
HALLMARK_APICAL_SURFACE	6.710370826711863	8.976249409160317e-12	4.488124704580158e-10	TRUE
HALLMARK_APOPTOSIS	6.352996721709668	3.73190352315028e-11	1.86595176157514e-9	TRUE
HALLMARK_BILE_ACID_METABOLISM	4.645443487525682	5.31047958308321e-8	2.655239791541605e-6	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4.10382321628658	6.191191121928535e-7	3.095595560964268e-5	TRUE
HALLMARK_COAGULATION	8.127079335113661	4.281345882199197e-14	2.1406729410995985e-12	TRUE
HALLMARK_COMPLEMENT	8.08075304680516	5.0619848971964564e-14	2.5309924485982283e-12	TRUE
HALLMARK_DNA_REPAIR	2.5721630853920283	8.257401585802013e-4	0.041287007929010064	FALSE
HALLMARK_E2F_TARGETS	6.739749521744439	7.995363844326863e-12	3.9976819221634314e-10	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5.894167439456621	2.4382763079534095e-10	1.2191381539767048e-8	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	5.053040522205383	8.766445086517371e-9	4.3832225432586855e-7	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	4.802338084980366	2.6415136007980515e-8	1.3207568003990257e-6	TRUE
HALLMARK_FATTY_ACID_METABOLISM	2.433519448131741	0.0015802889540119395	0.07901444770059697	FALSE
HALLMARK_G2M_CHECKPOINT	6.661981447539442	1.086612956559171e-11	5.433064782795855e-10	TRUE
HALLMARK_GLYCOLYSIS	4.148671350360784	5.039089875965277e-7	2.5195449379826382e-5	TRUE
HALLMARK_HEDGEHOG_SIGNALING	4.568541713922763	7.494625353273628e-8	3.747312676636814e-6	TRUE
HALLMARK_HEME_METABOLISM	2.7284500105671583	3.95363358603738e-4	0.0197681679301869	FALSE
HALLMARK_HYPOXIA	4.988623999852481	1.162101744644797e-8	5.810508723223985e-7	TRUE
HALLMARK_IL2_STAT5_SIGNALING	7.017292453974597	2.707750080634996e-12	1.353875040317498e-10	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	7.371914803903009	6.975297484762248e-13	3.487648742381124e-11	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	7.313369386569291	8.70788567160489e-13	4.353942835802445e-11	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	7.583851668439741	3.1455162355122096e-13	1.572758117756105e-11	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	7.916603066730732	9.198802696980333e-14	4.599401348490167e-12	TRUE
HALLMARK_KRAS_SIGNALING_DN	2.199068640210488	0.004667273916466626	0.2333636958233313	FALSE
HALLMARK_KRAS_SIGNALING_UP	7.217466829117895	1.2545985477206831e-12	6.272992738603416e-11	TRUE
HALLMARK_MITOTIC_SPINDLE	2.9450524727280594	1.4182246012621355e-4	0.007091123006310677	TRUE
HALLMARK_MTORC1_SIGNALING	2.5782526728620008	8.024465021815329e-4	0.040122325109076644	FALSE
HALLMARK_MYC_TARGETS_V1	3.574366641765564	7.251222510237713e-6	3.625611255118856e-4	TRUE
HALLMARK_MYC_TARGETS_V2	3.620592940973405	5.837968150243319e-6	2.9189840751216596e-4	TRUE
HALLMARK_MYOGENESIS	6.07250255359707	1.1680687795243272e-10	5.840343897621636e-9	TRUE
HALLMARK_NOTCH_SIGNALING	9.381851401420574	5.451793519846824e-16	2.725896759923412e-14	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.5787187302421601	0.06811693085778472	1	FALSE
HALLMARK_P53_PATHWAY	5.818551689529633	3.3394826413113294e-10	1.6697413206556647e-8	TRUE
HALLMARK_PANCREAS_BETA_CELLS	3.0122380773097355	1.0314669364680692e-4	0.005157334682340346	TRUE
HALLMARK_PEROXISOME	2.2250355793881353	0.004144586582413172	0.2072293291206586	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	2.5552104810005556	8.941726706812073e-4	0.04470863353406037	FALSE
HALLMARK_PROTEIN_SECRETION	2.048603443305877	0.009219400280773313	0.46097001403866567	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2.5856733942534778	7.749394596707329e-4	0.038746972983536646	FALSE
HALLMARK_SPERMATOGENESIS	7.818595335957282	1.3178500134437423e-13	6.589250067218712e-12	TRUE
HALLMARK_TGF_BETA_SIGNALING	5.176482013280216	5.122967562562149e-9	2.5614837812810745e-7	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.006388169522196	1.5330076175314146e-10	7.665038087657072e-9	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.249738175679309	0.0037006420655551374	0.18503210327775688	FALSE
HALLMARK_UV_RESPONSE_DN	4.098192222363925	6.353528913509902e-7	3.176764456754951e-5	TRUE
HALLMARK_UV_RESPONSE_UP	3.149144042936824	5.3916272720018535e-5	0.002695813636000927	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	3.3344828327702785	2.2437850484955816e-5	0.0011218925242477908	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	5.789934607803171	3.7630701718119825e-10	1.881535085905991e-8	TRUE
