hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	0.33462723013529894	0.5771337947528391	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	0.15419119618213956	0.7036998829588477	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	0.39982680743995097	0.5429064660666121	1	FALSE
HALLMARK_ANGIOGENESIS	0.40306735479903516	0.5413108983628688	1	FALSE
HALLMARK_APICAL_JUNCTION	0.036753302895245185	0.8522237224267488	1	FALSE
HALLMARK_APICAL_SURFACE	0.05895052131621686	0.813605385321159	1	FALSE
HALLMARK_APOPTOSIS	0.5684314113525787	0.4701475547578744	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	0.1694815236603829	0.6902044611132412	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.165613729887703	0.17521015164489093	1	FALSE
HALLMARK_COAGULATION	7.6091964523545106e-06	0.9978592321202111	1	FALSE
HALLMARK_COMPLEMENT	0.24218634370201972	0.634412182508025	1	FALSE
HALLMARK_DNA_REPAIR	0.19763728790326585	0.6671330116636993	1	FALSE
HALLMARK_E2F_TARGETS	0.00794971659075597	0.9309064023057102	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.09780059909564799	0.7616101723181652	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.32594694975804916	0.5820282946133498	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4838741923657471	0.5042365186226614	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	0.6089448933542605	0.4552180772074429	1	FALSE
HALLMARK_G2M_CHECKPOINT	0.07048455589772155	0.7966137170146225	1	FALSE
HALLMARK_GLYCOLYSIS	6.593655792155662e-5	0.9936982869058095	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	0.7752931335276476	0.40148517465090805	1	FALSE
HALLMARK_HEME_METABOLISM	0.051249000355843045	0.8259618886327982	1	FALSE
HALLMARK_HYPOXIA	8.305519573861621e-4	0.9776376518011936	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	0.07536152695568507	0.7898819490316797	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4410767315587235	0.5232516128027587	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	0.18749599022921687	0.6752006419017028	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5027024908136656	0.49626961811941517	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0970612418068949	0.7624811285063419	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	1.0685562061389016	0.3282481800138125	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	0.13459779551746479	0.7221892579681919	1	FALSE
HALLMARK_MITOTIC_SPINDLE	2.636303954497785	0.13889379534912033	1	FALSE
HALLMARK_MTORC1_SIGNALING	4.884761387507681e-4	0.9828492472145944	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.006019388462000295	0.9398558788286236	1	FALSE
HALLMARK_MYC_TARGETS_V2	0.05804399793055087	0.8150134325271418	1	FALSE
HALLMARK_MYOGENESIS	0.20898519989099115	0.658398323516159	1	FALSE
HALLMARK_NOTCH_SIGNALING	1.2869029863005954	0.2859295760266194	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0030256727574074914	0.957335318229142	1	FALSE
HALLMARK_P53_PATHWAY	0.5134915726546284	0.49180652984412376	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	16.39068988470743	0.0028912532439848413	0.14456266219924208	FALSE
HALLMARK_PEROXISOME	0.19770515325297575	0.6670798779330247	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.7498661483079003	0.4090090102014835	1	FALSE
HALLMARK_PROTEIN_SECRETION	0.3991899049813883	0.5432211450162578	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.01217709155325188	0.9145534530068796	1	FALSE
HALLMARK_SPERMATOGENESIS	0.7378545388664072	0.4126422139697432	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	1.2910943057034485	0.28519600414620366	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.2034034208559161	0.301124917442156	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.07659144627896848	0.7882217608372593	1	FALSE
HALLMARK_UV_RESPONSE_DN	1.576814673076399	0.24083972907289614	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.7536495897211561	0.4078752598833948	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.022932400116269208	0.8829730882464562	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	0.22989353850319932	0.6430391197291654	1	FALSE
