hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Progressive-Diagnosis	0.12427878730819142	0.4879470211972404	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Deceased-Diagnosis	-0.3012348543757462	0.02573614234384125	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Deceased-Progressive	-0.4255136416839376	0.009543237990736642	0.4771618995368321	TRUE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Progressive-Diagnosis	0.11857848622576883	0.12064364249645343	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Deceased-Diagnosis	0.07477673096843718	0.32504073325644944	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Deceased-Progressive	-0.043801755257331654	0.7403715708037564	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Progressive-Diagnosis	0.1301086938372763	0.40334134035893066	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Deceased-Diagnosis	-0.2448872544462177	0.047244405420821645	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Deceased-Progressive	-0.37499594828349403	0.012413471397544451	0.6206735698772226	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Progressive-Diagnosis	0.13354382663322234	0.8054013419647763	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Deceased-Diagnosis	0.3097027451664987	0.2861495034191639	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Deceased-Progressive	0.17615891853327634	0.7266565027983221	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Progressive-Diagnosis	0.06308810888226987	0.7784524850306284	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Deceased-Diagnosis	0.009886466635941116	0.9924576766146633	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Deceased-Progressive	-0.05320164224632876	0.8570912137330612	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Progressive-Diagnosis	0.19477584683268157	0.09622174743440814	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Deceased-Diagnosis	0.057125583581327716	0.7400298228110275	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Deceased-Progressive	-0.13765026325135382	0.3192161423965285	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Progressive-Diagnosis	0.17388428763474412	0.31899642365596004	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Deceased-Diagnosis	7.000405620967119e-4	0.9999749193298159	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Deceased-Progressive	-0.1731842470726474	0.37242332305070713	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Progressive-Diagnosis	0.15474871680950858	0.19676933823555987	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Deceased-Diagnosis	-8.142067910305584e-4	0.9999357879355857	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Deceased-Progressive	-0.15556292360053914	0.23758946393014446	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Progressive-Diagnosis	0.06388226148909237	0.8335730276752111	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Deceased-Diagnosis	-0.226175393101831	0.11040118008776723	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Deceased-Progressive	-0.29005765459092336	0.0817378858217157	1	FALSE	FALSE
HALLMARK_COAGULATION	Progressive-Diagnosis	0.18175478658134708	0.2424257940166794	1	FALSE	FALSE
HALLMARK_COAGULATION	Deceased-Diagnosis	0.0992461499258638	0.5735505667279254	1	FALSE	FALSE
HALLMARK_COAGULATION	Deceased-Progressive	-0.0825086366554833	0.753915199970854	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Progressive-Diagnosis	0.22486836577571567	0.11028761921088759	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Deceased-Diagnosis	0.01900853993912413	0.9763973243377223	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Deceased-Progressive	-0.20585982583659151	0.18681206076446133	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Progressive-Diagnosis	-0.2663598711208926	0.24018649370361267	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Deceased-Diagnosis	-0.24831297349317183	0.22784800038832675	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Deceased-Progressive	0.01804689762772077	0.9934949813624987	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Progressive-Diagnosis	-0.4006062629171088	0.30239987038903315	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Deceased-Diagnosis	0.0866739535704049	0.9271322475338036	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Deceased-Progressive	0.48728021648751374	0.22940914122592448	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Progressive-Diagnosis	0.0923550360935272	0.8739160325745721	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Deceased-Diagnosis	0.25389104941211305	0.3318771930447515	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Deceased-Progressive	0.16153601331858583	0.7077590646223326	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Progressive-Diagnosis	0.1279802639066753	0.2073331908419841	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Deceased-Diagnosis	-0.022717912970211612	0.9325537862936031	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Deceased-Progressive	-0.1506981768768869	0.16195720538099168	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Progressive-Diagnosis	0.14143218120296625	0.1306984143537745	1	FALSE	FALSE
