hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Progressive-Diagnosis	-0.003940343373488531	0.9987895189482616	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Recurrence-Diagnosis	-0.15012527457536648	0.23402194178142355	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Recurrence-Progressive	-0.14618493120187795	0.19040928649541045	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Progressive-Diagnosis	0.015805155624297296	0.9611026108974553	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Recurrence-Diagnosis	0.006243420938003674	0.994448728903598	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Recurrence-Progressive	-0.009561734686293621	0.984222457467685	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Progressive-Diagnosis	-0.069090710431937985	0.764775023393796	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Recurrence-Diagnosis	-0.15455451724891212	0.3180722241847046	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Recurrence-Progressive	-0.08546380681697413	0.6412574144972294	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Progressive-Diagnosis	-0.012880227949302436	0.9948744223858081	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Recurrence-Diagnosis	-0.01801818930135951	0.991017792103388	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Recurrence-Progressive	-0.005137961352057074	0.9991058272697347	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Progressive-Diagnosis	-0.03518160321649086	0.8525204135216697	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Recurrence-Diagnosis	0.010339211098710957	0.9876064688267139	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Recurrence-Progressive	0.045520814315201816	0.7482624716263532	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Progressive-Diagnosis	0.10563569463826518	0.46545115260151393	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Recurrence-Diagnosis	-0.04896370746252817	0.8583975202293503	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Recurrence-Progressive	-0.15459940210079334	0.18300530837024742	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Progressive-Diagnosis	0.021063792871687942	0.9814159341446094	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Recurrence-Diagnosis	-0.021799637735368582	0.9821291673662178	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Recurrence-Progressive	-0.042863430607056524	0.9188388417033065	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Progressive-Diagnosis	0.03209668392151338	0.678748401412947	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Recurrence-Diagnosis	-0.04037896684555026	0.5795777464611058	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Recurrence-Progressive	-0.07247565076706364	0.13899121075081178	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Progressive-Diagnosis	-0.030229268444713242	0.929984386627981	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Recurrence-Diagnosis	-0.09099746374189949	0.5634476380774318	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Recurrence-Progressive	-0.060768195297186245	0.7287612315184895	1	FALSE	FALSE
HALLMARK_COAGULATION	Progressive-Diagnosis	0.025859457876757627	0.9165896152549842	1	FALSE	FALSE
HALLMARK_COAGULATION	Recurrence-Diagnosis	0.010818317210768202	0.9863569284837053	1	FALSE	FALSE
HALLMARK_COAGULATION	Recurrence-Progressive	-0.015041140665989425	0.9681882161074002	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Progressive-Diagnosis	-8.809300390389685e-4	0.9998999834024223	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Recurrence-Diagnosis	0.0018102641363475364	0.9996210262823664	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Recurrence-Progressive	0.002691194175386505	0.9989795900763349	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Progressive-Diagnosis	-0.07842091268466946	0.8285957226194589	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Recurrence-Diagnosis	-0.05131245239933532	0.9298624256088748	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Recurrence-Progressive	0.027108460285334132	0.9755018450825172	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Progressive-Diagnosis	-0.02376247112860924	0.9655727571424835	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Recurrence-Diagnosis	0.046081642453114136	0.8889759318741319	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Recurrence-Progressive	0.06984411358172338	0.7220863774608111	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Progressive-Diagnosis	-0.007933108515532583	0.9976049591165415	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Recurrence-Diagnosis	0.001540645011318842	0.999918830114991	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Recurrence-Progressive	0.009473753526851425	0.9962669489072372	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Progressive-Diagnosis	0.028418921580293563	0.8926002950780447	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Recurrence-Diagnosis	-0.02576768948319022	0.9194608484025593	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Recurrence-Progressive	-0.05418661106348378	0.6418665223654932	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Progressive-Diagnosis	0.008040365909536218	0.9907764712613861	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Recurrence-Diagnosis	-0.030877379811289303	0.8852729244988271	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Recurrence-Progressive	-0.03891774572082552	0.7910251205059872	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Progressive-Diagnosis	0.0031460878223111832	0.9988144688324143	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Recurrence-Diagnosis	-0.08666246946642914	0.46161733498529955	1	FALSE	FALSE
